[TRAIN] Step    55/10000 | Loss: 10.5322 | LR: 0.000028 | dt: 706.15ms | tok/sec: 1450.11
[TRAIN] Step    56/10000 | Loss: 10.4768 | LR: 0.000028 | dt: 709.13ms | tok/sec: 1444.02
[TRAIN] Step    57/10000 | Loss: 10.3704 | LR: 0.000029 | dt: 740.14ms | tok/sec: 1383.53
[TRAIN] Step    58/10000 | Loss: 10.5145 | LR: 0.000029 | dt: 732.20ms | tok/sec: 1398.52
[TRAIN] Step    59/10000 | Loss: 10.4257 | LR: 0.000030 | dt: 739.82ms | tok/sec: 1384.12
[TRAIN] Step    60/10000 | Loss: 10.3390 | LR: 0.000030 | dt: 736.92ms | tok/sec: 1389.56
[TRAIN] Step    61/10000 | Loss: 10.2695 | LR: 0.000030 | dt: 730.86ms | tok/sec: 1401.10
[TRAIN] Step    62/10000 | Loss: 10.3148 | LR: 0.000031 | dt: 931.26ms | tok/sec: 1099.59
[TRAIN] Step    63/10000 | Loss: 10.3472 | LR: 0.000031 | dt: 1176.78ms | tok/sec:  870.17
[TRAIN] Step    64/10000 | Loss: 10.3292 | LR: 0.000032 | dt: 1072.83ms | tok/sec:  954.48
[TRAIN] Step    65/10000 | Loss: 10.1260 | LR: 0.000033 | dt: 797.51ms | tok/sec: 1284.00
[TRAIN] Step    66/10000 | Loss: 10.2116 | LR: 0.000033 | dt: 722.26ms | tok/sec: 1417.78
[TRAIN] Step    67/10000 | Loss: 10.0348 | LR: 0.000034 | dt: 715.16ms | tok/sec: 1431.85
[TRAIN] Step    68/10000 | Loss: 10.0849 | LR: 0.000034 | dt: 715.92ms | tok/sec: 1430.32
[TRAIN] Step    69/10000 | Loss: 9.6519 | LR: 0.000035 | dt: 721.97ms | tok/sec: 1418.34
[TRAIN] Step    70/10000 | Loss: 9.9536 | LR: 0.000035 | dt: 717.88ms | tok/sec: 1426.42
[TRAIN] Step    71/10000 | Loss: 10.0045 | LR: 0.000036 | dt: 716.81ms | tok/sec: 1428.55
[TRAIN] Step    72/10000 | Loss: 9.7720 | LR: 0.000036 | dt: 717.09ms | tok/sec: 1427.98
[TRAIN] Step    73/10000 | Loss: 9.8904 | LR: 0.000036 | dt: 727.59ms | tok/sec: 1407.38
[TRAIN] Step    74/10000 | Loss: 9.6020 | LR: 0.000037 | dt: 747.91ms | tok/sec: 1369.16
[TRAIN] Step    75/10000 | Loss: 9.8619 | LR: 0.000037 | dt: 752.71ms | tok/sec: 1360.41
[TRAIN] Step    76/10000 | Loss: 9.7043 | LR: 0.000038 | dt: 1757.93ms | tok/sec:  582.50
